leaderboard_publish_date,real,sarima_pred,xgb_pred,rf_pred,gb_pred
2026-04-26,1500.2551859283258,1503.0843614302316,1495.9374,1498.1010533395086,1498.2880318791185
2026-05-03,1500.2375988480828,1505.7485324254135,1501.5612,1501.069195166073,1502.804086017757
2026-05-10,1500.560585441826,1508.4127034205953,1500.9896,1501.292646403575,1502.6035232741158
2026-05-17,1499.6409255437052,1511.0768744157772,1501.2968,1501.2708378512705,1502.6402121712329
2026-05-24,1500.036179164298,1513.741045410959,1500.3372,1500.7573076841886,1497.9386708321642
2026-05-31,1499.3173401234678,1516.4052164061409,1499.9509,1499.1199159212947,1498.2043825183775
2026-06-07,1500.5477725928888,1519.0693874013227,1499.8872,1500.5904472213795,1498.3543965732167
2026-06-14,1510.6312668615835,1521.7335583965046,1499.7872,1500.5669433263506,1498.3012687891826
2026-06-21,1500.6681253516804,1524.3977293916864,1499.6472,1499.7404245275704,1495.7032942329877
2026-06-28,1500.2525148178318,1527.0619003868683,1503.403,1499.6929513889713,1499.1586392130657
2026-07-05,1500.8482269500782,1529.7260713820501,1499.998,1499.0355771357556,1498.5002716227173
2026-07-12,1501.1769344938562,1532.390242377232,1500.5217,1499.0177290346899,1498.3081928213771
